,training_accuracy,validation_accuracy,testset_accuracy
count,10.0,10.0,10.0
mean,0.965246913580247,0.8125,0.8166666666666668
std,0.008223231786123681,0.04392052305789416,0.03252773393803123
min,0.9483024691358025,0.7361111111111112,0.7317251461988304
25%,0.9616030092592592,0.7881944444444444,0.8111293859649122
50%,0.9678626543209876,0.8125,0.8229166666666666
75%,0.9701099537037037,0.8385416666666667,0.8362573099415205
max,0.9761188271604938,0.875,0.8442982456140351
