,training_accuracy,validation_accuracy,testset_accuracy
count,18.0,18.0,18.0
mean,0.9655514705882354,0.3208333333333333,0.3016812865497076
std,0.006437844764095725,0.14469796128487783,0.14324488253876577
min,0.9542647058823529,0.025,0.07894736842105263
25%,0.9616544117647059,0.21875,0.1756578947368421
50%,0.9653308823529412,0.33125000000000004,0.26710526315789473
75%,0.9672058823529411,0.4375,0.42532894736842103
max,0.9795955882352941,0.525,0.5059210526315789
