,training_accuracy,validation_accuracy,testset_accuracy
count,18.0,18.0,18.0
mean,0.7372659313725491,0.24013888888888893,0.24324195906432747
std,0.010950180089871153,0.08475189665681887,0.08331631400060692
min,0.711125,0.05125,0.06118421052631579
25%,0.7313547794117646,0.184375,0.2000328947368421
50%,0.7377573529411765,0.23625000000000002,0.2437828947368421
75%,0.7462178308823529,0.3096875,0.30672697368421054
max,0.7563786764705882,0.36625,0.3809868421052632
