,training_accuracy,validation_accuracy,testset_accuracy
count,10.0,10.0,10.0
mean,0.727182098765432,0.7496527777777777,0.7543165204678364
std,0.010481807320708707,0.02443692452372693,0.02216867202614832
min,0.7103047839506172,0.6888888888888889,0.7018640350877193
25%,0.720306712962963,0.7486111111111111,0.7445815058479532
50%,0.7272164351851852,0.7541666666666667,0.7606542397660818
75%,0.7365287422839506,0.7598958333333333,0.7716008771929825
max,0.7407137345679012,0.7763888888888889,0.7733552631578947
