,training_accuracy,validation_accuracy,testset_accuracy
count,10.0,10.0,10.0
mean,0.9250601851851853,0.7449305555555555,0.7568786549707603
std,0.009111894444646001,0.03386487840982061,0.03473448900139894
min,0.9099305555555556,0.6916666666666667,0.6962719298245614
25%,0.9192361111111111,0.7319444444444444,0.7482273391812866
50%,0.9239930555555556,0.7520833333333333,0.7592470760233918
75%,0.9330671296296297,0.7664062500000001,0.7828536184210526
max,0.9376388888888889,0.7951388888888888,0.7974232456140351
