,training_accuracy,validation_accuracy,testset_accuracy
count,1.0,1.0,1.0
mean,0.9719040247678019,0.9463235294117647,0.36125
std,,,
min,0.9719040247678019,0.9463235294117647,0.36125
25%,0.9719040247678019,0.9463235294117647,0.36125
50%,0.9719040247678019,0.9463235294117647,0.36125
75%,0.9719040247678019,0.9463235294117647,0.36125
max,0.9719040247678019,0.9463235294117647,0.36125
