,training_accuracy,validation_accuracy,testset_accuracy
count,10.0,10.0,10.0
mean,0.8875219907407408,0.70875,0.7078326023391812
std,0.0018118793085241528,0.015738017193572543,0.017122531814148006
min,0.8844174382716049,0.6875,0.6806652046783626
25%,0.8863676697530865,0.6980902777777778,0.7005391081871346
50%,0.8877430555555555,0.7027777777777777,0.7129934210526316
75%,0.8884162808641975,0.7223958333333332,0.7167580409356725
max,0.8907060185185185,0.7340277777777777,0.7351608187134503
